id,text,parent,isLeaf,aggrlevel
"02243","02243 - Milk (other than whey) and cream, in powder or granules containing more than 1.5% by weight of fat","0224","1","5",
"02249","02249 - Milk (other than whey) and cream, preserved, cencentrated or sweeted, in forms other than powder or granules","0224","1","5",
"0224X","0224X - Memorandum Item","0224","1","5",
"022X","022X - Memorandum Item","022","0","4",
"022XX","022XX - Memorandum Item","022X","1","5",
"023","023 - Butter","02","0","3",
"0230","0230 - Butter","023","1","4",
"023X","023X - Memorandum Item","023","0","4",
"023XX","023XX - Memorandum Item","023X","1","5",
"024","024 - Cheese and curd","02","0","3",
"0240","0240 - Cheese and curd","024","1","4",
"024X","024X - Memorandum Item","024","0","4",
"024XX","024XX - Memorandum Item","024X","1","5",
"025","025 - Eggs, birds', and egg yolks, fresh, dried or otherwise preserved, sweetened or not","02","0","3",
"0251","0251 - ....in shell","025","1","4",
"0252","0252 - ....not in shell","025","1","4",
"025X","025X - Memorandum Item","025","0","4",
"025XX","025XX - Memorandum Item","025X","1","5",
"02X","02X - Memorandum Item","02","0","3",
"02XX","02XX - Memorandum Item","02X","0","4",
"02XXX","02XXX - Memorandum Item","02XX","1","5",
"03","03 - Fish, crustacean and molluscs, and preparations thereof","0","0","2",
"034","034 - Fish, fresh (live or dead), chilled or frozen","03","0","3",
"0341","0341 - Fish, fresh (live or dead) or chilled (excluding fillets)","034","1","4",
"0342","0342 - Fish, frozen (exeluding fillets)","034","1","4",
"0343","0343 - Fish fillets, fresh or chilled","034","1","4",
"0344","0344 - Fish fillets, frozen","034","1","4",
"034X","034X - Memorandum Item","034","0","4",
"034XX","034XX - Memorandum Item","034X","1","5",
"035","035 - Fish, dried, salted or in brine; smoked fish (whether or not cooked before or during the smoking process)","03","0","3",
"0350","0350 - Fish, dried, salted or in brine; smoked fish (whether or not cooked before or during the smoking process)","035","0","4",
"03501","03501 - Fish meal fit for human consumption","0350","1","5",
"03502","03502 - Cod (not in fillets) dried, whether or not salted","0350","1","5",
"03503","03503 - Fish, dried, salted or in brine (other than cod of heading 035.02)","0350","1","5",
"03504","03504 - Fish smoked (whether or not cooked before or during the smoking process)","0350","1","5",
"0350X","0350X - Memorandum Item","0350","1","5",
"035X","035X - Memorandum Item","035","0","4",
"035XX","035XX - Memorandum Item","035X","1","5",
"036","036 - Crustaceans and molluscs, whether in shell or not, fresh (live or dead), chilled, frozen, salted, in brine or dried; crustaceans, in shell, simply boiled in water","03","0","3",
"0360","0360 - Crustaceans and molluscs, whether in shell or not, fresh (live or dead), chilled, frozen, salted, in brine or dried; crustaceans, in shell, simply boiled in water","036","1","4",
"036X","036X - Memorandum Item","036","0","4",
"036XX","036XX - Memorandum Item","036X","1","5",
"037","037 - Fish, crustaceans and molluscs, prepared or preserved, n.e.s.","03","0","3",
"0371","0371 - Fish, prepared or preserved, n.e.s. including caviar and caviar substitutes)","037","1","4",
"0372","0372 - Crustaceans and molluscs, prepared or preserved, n.e.s.","037","1","4",
"037X","037X - Memorandum Item","037","0","4",
"037XX","037XX - Memorandum Item","037X","1","5",
"03X","03X - Memorandum Item","03","0","3",
"03XX","03XX - Memorandum Item","03X","0","4",
"03XXX","03XXX - Memorandum Item","03XX","1","5",
"04","04 - Cereals and cereal preparations","0","0","2",
"041","041 - Wheat (including spelt) and meslin, unmilled","04","0","3",
"0411","0411 - Durum wheat, unmilled","041","1","4",
"0412","0412 - Other wheat (including spelt) and meslin, unmilled","041","1","4",
"041X","041X - Memorandum Item","041","0","4",
"041XX","041XX - Memorandum Item","041X","1","5",
"042","042 - Rice","04","0","3",
"0421","0421 - Rice in the husk or husked, but not further prepared","042","0","4",
"04211","04211 - Rice in the husk (paddy or rough rice)","0421","1","5",
"04212","04212 - Rice husked, but not further prepared (cargo rice or brown rice)","0421","1","5",
"0421X","0421X - Memorandum Item","0421","1","5",
"0422","0422 - Rice, semi-milled or wholly milled, whether or not polished or glazed (including parboiled and broken rice)","042","0","4",
"04221","04221 - Rice, semi-milled or wholly milled, whether or not polished or glazed (including parboiled rice; excluding broken rice)","0422","1","5",
"04222","04222 - Broken rice","0422","1","5",
"0422X","0422X - Memorandum Item","0422","1","5",
"042X","042X - Memorandum Item","042","0","4",
"042XX","042XX - Memorandum Item","042X","1","5",
"043","043 - Barley, unmilled","04","0","3",
"0430","0430 - Barley, unmilled","043","1","4",
"043X","043X - Memorandum Item","043","0","4",
"043XX","043XX - Memorandum Item","043X","1","5",
"044","044 - Maize (corn), unmilled","04","0","3",
"0440","0440 - Maize (corn), unmilled","044","1","4",
"044X","044X - Memorandum Item","044","0","4",
"044XX","044XX - Memorandum Item","044X","1","5",
"045","045 - Cereals, unmilled (other than wheat, rice, barley and maize)","04","0","3",
"0451","0451 - Rye, unmilled","045","1","4",
"0452","0452 - Oats, unmilled","045","1","4",
"0459","0459 - Buckwheat, millet, canary seed, grain sorghum and other cereals, unmilled, n.e.s.","045","0","4",
"04591","04591 - Millet, unmilled","0459","1","5",
"04592","04592 - Sorghum, unmilled","0459","1","5",
"04599","04599 - Other cereals, unmilled, n.e.s.","0459","1","5",
"0459X","0459X - Memorandum Item","0459","1","5",
"045X","045X - Memorandum Item","045","0","4",
"045XX","045XX - Memorandum Item","045X","1","5",
"046","046 - Meal and flour of wheat and flour of meslin","04","0","3",
"0460","0460 - Meal and flour of wheat and flour of meslin","046","0","4",
"04601","04601 - Flour of wheat or of meslin","0460","1","5",
"04602","04602 - Groats, meal and pellets, of wheat","0460","1","5",
"0460X","0460X - Memorandum Item","0460","1","5",
"046X","046X - Memorandum Item","046","0","4",
"046XX","046XX - Memorandum Item","046X","1","5",
"047","047 - Other cereal meals and flours","04","0","3",
"0470","0470 - Other cereal meals and flours","047","0","4",
"04701","04701 - Cereal flours (other than of wheat or of meslin)","0470","1","5",
"04702","04702 - Cereal groats, meal and pellets (other than of wheat)","0470","1","5",
"0470X","0470X - Memorandum Item","0470","1","5",
"047X","047X - Memorandum Item","047","0","4",
"047XX","047XX - Memorandum Item","047X","1","5",
"048","048 - Cereal preparations and preparations of flour or starch of fruits or vegetables","04","0","3",
"0481","0481 - Cereal grains, worked or prepared in a manner not elsewhere specified ('prepared breakfast foods')","048","0","4",
"04811","04811 - Other worked cereal grains (i.e., rolled, flaked, polished, pearled or kibbled, but not futher prepared); germ of cereals, whole, rolled, flaked or ground","0481","1","5",
"04812","04812 - Prepared foods obtained by the swelling or roasting of cereals or cereal products (puffed rice, corn flakes and similar products)","0481","1","5",
"0481X","0481X - Memorandum Item","0481","1","5",
"0482","0482 - Malt, roasted or not (including malt flour)","048","1","4",
"0483","0483 - Macaroni, spaghetti and similar products","048","1","4",
"0484","0484 - Bakery products (e.g., bread, biscuits, cakes) and other baked goods made from flour or starch pastes (e.g., communion wafers)","048","0","4",
"04841","04841 - Bread, ships' biscuits and other ordinary bakers' wares, not containing added sugar, honey, eggs, fats, cheese or fruit; communion waffers, empty cachets of a kind suitable for pharmaceutical use, sealing waffers, rice paper and similar products","0484","1","5",
"04842","04842 - Pastry, biscuits, cakes and other fine bakers' wares, whether or not containing cocoa an any proportion","0484","1","5",
"0484X","0484X - Memorandum Item","0484","1","5",
"0488","0488 - Malt extract; preparations of flour, meal, starch or malt extract, of a kind used as infant food or for dietetic or culinary purposes, containing less than 50% by weight of cocoa","048","1","4",
"048X","048X - Memorandum Item","048","0","4",
"048XX","048XX - Memorandum Item","048X","1","5",
"04X","04X - Memorandum Item","04","0","3",
"04XX","04XX - Memorandum Item","04X","0","4",
"04XXX","04XXX - Memorandum Item","04XX","1","5",
"05","05 - Vegetables and fruit","0","0","2",
"054","054 - Vegetables, fresh, chilled, frozen or slmply preserved (including dried leguminous vegetables); roots, tubers and other edible vegetable products, n.e.s., fresh or dried","05","0","3",
"0541","0541 - Potatoes, fresh or chilled (not including sweet potatoes)","054","1","4",
"0542","0542 - Beans, peas, lentils and other leguminous vegetables, dried, shelled, whether or not skinned or split","054","1","4",
"0544","0544 - Tomatoes, fresh or chilled","054","1","4",
"0545","0545 - Other fresh or chilled vegetables","054","0","4",
"05451","05451 - Onion, shallots, garlic, leeks and other alliaceous vegetables (e.g., chives and Welsh onions), fresh or chilled","0545","1","5",
"05459","05459 - Vegetables, fresh or chilled, n.e.s.","0545","1","5",
"0545X","0545X - Memorandum Item","0545","1","5",
"0546","0546 - Vegetables, frozen or in temporary preservative","054","0","4",
"05461","05461 - Vegetables (whether or not cooked), preserved by freezing","0546","1","5",
"05462","05462 - Vegetables provisionally preserved in brine, in sulphur water or in other preservative solutions, but not specially prepared for immediate consumption","0546","1","5",
"0546X","0546X - Memorandum Item","0546","1","5",
"0548","0548 - Vegetable products, roots and tubers, chiefly for human food, n.e.s., fresh or dried","054","0","4",
"05481","05481 - Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and other similar roots and tubers with high starch or inulin content, fresh or dried, whole or sliced; sago pith","0548","1","5",
"05482","05482 - Sugar beet, whole or sliced, fresh, dried or powdered; sugar cane","0548","1","5",
"05484","05484 - Hop cones and lupulin","0548","1","5",
"05488","05488 - Vegetable products of a kind used primarily for human food, n.e.s.","0548","1","5",
"0548X","0548X - Memorandum Item","0548","1","5",
"054X","054X - Memorandum Item","054","0","4",
"054XX","054XX - Memorandum Item","054X","1","5",
"056","056 - Vegetables, roots and tubers, prepared or preserved, n.e.s.","05","0","3",
"0561","0561 - Vegetables, dried, dehydrated or evaporated (excluding leguminous vegetables), whole, cut, sliced, broken or in powder, but not further prepared","056","1","4",
"0564","0564 - Flour, meals and flakes of potatoes, fruit and vegetables, n.e.s. (including sago and tapioca)","056","0","4",
"05643","05643 - Flour, meal and flakes of potato","0564","1","5",
"05645","05645 - Tapioca and sago; tapioca and sago substitutes obtained from potato or other starches","0564","1","5",
"05649","05649 - Flours of the leguminous vegetables falling within heading 054.2 or of the fruits falling within any heading of group 057; flour and meal of sago and of roots and tubers falling within heading 054.81","0564","1","5",
"0564X","0564X - Memorandum Item","0564","1","5",
"0565","0565 - Vegetables, prepared or preserved, n.e.s.","056","0","4",
"05651","05651 - Vegetables and fruit, prepared or preserved by vinegar or acetic acid, with or without sugar, whether or not containing salt, spices or mustard","0565","1","5",
"05659","05659 - Vegetables prepared or preserved other than by vinegar or acetic acid, n.e.s.","0565","1","5",
"0565X","0565X - Memorandum Item","0565","1","5",
"056X","056X - Memorandum Item","056","0","4",
"056XX","056XX - Memorandum Item","056X","1","5",
"057","057 - Fruit and nuts (not including oil nuts), fresh or dried","05","0","3",
"0571","0571 - Oranges, mandarins, clementines and other similar citrus hybrids, fresh or dried","057","0","4",
"05711","05711 - Oranges, fresh or dried","0571","1","5",
"05712","05712 - MandarLns (including tangerines and satsumas); clementines, wilkings and other similar citrus hybrids, fresh or dried","0571","1","5",
"0571X","0571X - Memorandum Item","0571","1","5",
"0572","0572 - Other citrus fruit, fresh or dried","057","0","4",
"05721","05721 - Lemons and limes, fresh or dried","0572","1","5",
"05722","05722 - Grapefruit, fresh or dried","0572","1","5",
"05729","05729 - Citrus fruit, n.e.s., fresh or dried","0572","1","5",
"0572X","0572X - Memorandum Item","0572","1","5",
"0573","0573 - Banana (including plantains), fresh or dried","057","1","4",
"0574","0574 - Apples, fresh","057","1","4",
"0575","0575 - Grapes, fresh or dried","057","0","4",
"05751","05751 - ....fresh","0575","1","5",
"05752","05752 - ....dried (raisins)","0575","1","5",
"0575X","0575X - Memorandum Item","0575","1","5",
"0576","0576 - Figs, fresh or dried","057","1","4",
"0577","0577 - Edible nuts (excluding nuts chiefly used for the extracting of oil), fresh or dried","057","0","4",
"05771","05771 - Coconnts, fresh or dried (excluding copra), shelled or not","0577","1","5",
"05772","05772 - Brazil nuts, fresh or dried, shelled or not","0577","1","5",
"05773","05773 - Cashew nuts, fresh or dried, shelled or not","0577","1","5",
"05774","05774 - Almonds, fresh or dried, shelled or not","0577","1","5",
"05775","05775 - Hazelnuts, fresh or dried, shelled or not","0577","1","5",
"05779","05779 - Edible nuts, fresh or dry, n.e.s., shelled or not","0577","1","5",
"0577X","0577X - Memorandum Item","0577","1","5",
"0579","0579 - Fruit, fresh or dried, n.e.s.","057","0","4",
"05792","05792 - Pears and quinces, fresh","0579","1","5",
"05793","05793 - Stone fruit, n.e.s., fresh","0579","1","5",
"05794","05794 - Berries, fresh","0579","1","5",
"05795","05795 - Pineapples, fresh or dried","0579","1","5",
"05796","05796 - Dates, fresh or dried","0579","1","5",
"05797","05797 - Avocados, mangoes, guavas, mangosteens, fresh or dried","0579","1","5",
"05798","05798 - Other fresh fruit","0579","1","5",
"05799","05799 - Other dried fruit","0579","1","5",
"0579X","0579X - Memorandum Item","0579","1","5",
"057X","057X - Memorandum Item","057","0","4",
"057XX","057XX - Memorandum Item","057X","1","5",
"058","058 - Fruit, preserved, and fruits preparations","05","0","3",
"0582","0582 - Fruit, fruit-peel and parts of plants, preserved by sugar (drained, glacé or crystallized)","058","1","4",
"0583","0583 - Jams, jellies, marmalades, fruit purée and fruit pastes, being cooked preparations, whether or not containing added sugar","058","1","4",
"0585","0585 - Fruit juices (including grape must) and vegetable juices, whether or not containing added sugar, but unfermented and not containing spirit","058","0","4",
"05851","05851 - Orange juice","0585","1","5",
"05852","05852 - Grapefruit juice","0585","1","5",
"05853","05853 - Juice of any other citrus fruit","0585","1","5",
"05854","05854 - Pineapple juice","0585","1","5",
"05855","05855 - Tomato juice","0585","1","5",
"05857","05857 - Juice of any other fruit or vegetable","0585","1","5",
"05858","05858 - Mixtures of fruit or vegetable juices","0585","1","5",
"0585X","0585X - Memorandum Item","0585","1","5",
"0586","0586 - Fruit, temporarily preserved","058","0","4",
"05861","05861 - Fruit (whether or not cooked), preserved by freezing, not containing added sugar","0586","1","5",
"05862","05862 - Fruit, preserved by freezing, containing added sugar","0586","1","5",
"05863","05863 - Fruit provisionally preserved (e.g., by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption","0586","1","5",
"05864","05864 - Peel of melons or citrus fruit, fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions","0586","1","5",
"0586X","0586X - Memorandum Item","0586","1","5",
"0589","0589 - Fruit othewise prepared or preserved, n.e.s., whether or not containing added sugar or spirit","058","0","4",
"05891","05891 - Nuts, roasted (including roasted groundnuts)","0589","1","5",
"05899","05899 - Fruit and nuts, prepared, preserved, n.e.s.","0589","1","5",
"0589X","0589X - Memorandum Item","0589","1","5",
"058X","058X - Memorandum Item","058","0","4",
"058XX","058XX - Memorandum Item","058X","1","5",
"05X","05X - Memorandum Item","05","0","3",
"05XX","05XX - Memorandum Item","05X","0","4",
"05XXX","05XXX - Memorandum Item","05XX","1","5",
"06","06 - Sugar, sugar preparations and honey","0","0","2",
"061","061 - Sugar and honey","06","0","3",
"0611","0611 - Sugars, beet and cane, raw, solid","061","1","4",
"0612","0612 - Refined sugar and other products of refining beet and cane sugar, solid","061","1","4",
"0615","0615 - Molasses, whether or not decolourized","061","1","4",
"0616","0616 - Natural honey","061","1","4",
"0619","0619 - Other sugars; sugar syrups; artificial honey (whether or not mixed with natural honey); caramel","061","1","4",
"061X","061X - Memorandum Item","061","0","4",
"061XX","061XX - Memorandum Item","061X","1","5",
"062","062 - Sugar confectionery (except chocolate confectionery) and other sugar preparations","06","0","3",
"0620","0620 - Sugar confectionery (except chocolate confectionery) and other sugar preparations","062","0","4",
"06201","06201 - Sugar confectionery, not containing cocoa","0620","1","5",
"06202","06202 - Flavored or coloured sugars, syrups and molases, but not including fruit juices containing added sugar in any proportion","0620","1","5",
"0620X","0620X - Memorandum Item","0620","1","5",
"062X","062X - Memorandum Item","062","0","4",
"062XX","062XX - Memorandum Item","062X","1","5",
"06X","06X - Memorandum Item","06","0","3",
"06XX","06XX - Memorandum Item","06X","0","4",
"06XXX","06XXX - Memorandum Item","06XX","1","5",
"07","07 - Coffee, tea, cocoa, spices, and manufactures thereof","0","0","2",
"071","071 - Coffee and coffee substitutes","07","0","3",
"0711","0711 - Coffee, whether or not roasted or freed of caffeine; coffee husks and skins ; coffee substitutes","071","0","4",
"07111","07111 - Coffee, not roasted; coffee husks and skins","0711","1","5",
"07112","07112 - Coffee, roasted","0711","1","5",
"07113","07113 - Coffee substitutes containing coffee in any proportion","0711","1","5",
"0711X","0711X - Memorandum Item","0711","1","5",
"0712","0712 - Extracts, essences or concentrates of coffee and preparations with a basis of those extracts, essences or concentretes; roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof","071","1","4",
"071X","071X - Memorandum Item","071","0","4",
"071XX","071XX - Memorandum Item","071X","1","5",
"072","072 - Cocoa","07","0","3",
"0721","0721 - Cocoa beans, whole or broken, raw or roasted","072","1","4",
"0722","0722 - Cocoa powder, unsweetened","072","1","4",
"0723","0723 - Cocoa butter and cocoa paste","072","0","4",
"07231","07231 - Cocoa paste (in bulk or in block), whether or not defatted","0723","1","5",
"07232","07232 - Cocoa butter (fat or oil)","0723","1","5",
"0723X","0723X - Memorandum Item","0723","1","5",
"072X","072X - Memorandum Item","072","0","4",
"072XX","072XX - Memorandum Item","072X","1","5",
"073","073 - Chocolate and other food preparations containing cocoa, n.e.s.","07","0","3",
"0730","0730 - Chocolate and other food preparations containing cocoa, n.e.s.","073","1","4",
"073X","073X - Memorandum Item","073","0","4",
"073XX","073XX - Memorandum Item","073X","1","5",
"074","074 - Tea and maté","07","0","3",
"0741","0741 - Tea","074","1","4",
"0742","0742 - Maté","074","1","4",
"074X","074X - Memorandum Item","074","0","4",
"074XX","074XX - Memorandum Item","074X","1","5",
"075","075 - Spices","07","0","3",
"0751","0751 - Pepper of the genus 'Piper'; pimento of the genus 'Capsicum' or of the genus 'Pimenta'","075","1","4",
"0752","0752 - Spices (except pepper and pimento)","075","0","4",
"07521","07521 - Vanilla","0752","1","5",
"07522","07522 - Cinnamon and cinnamon-tree flowers","0752","1","5",
"07523","07523 - Cloves (whole fruit, cloves and stems)","0752","1","5",
"07524","07524 - Nutmeg, mace, cardamoms","0752","1","5",
"07525","07525 - Seeds of anise, badian, fennel, coriander, cumin, caraway and juniper","0752","1","5",
"07526","07526 - Ginger (excluding ginger preserved in sugar or conserved in syrup)","0752","1","5",
"07528","07528 - Thyme, saffron, bay leaves; other spices","0752","1","5",
"0752X","0752X - Memorandum Item","0752","1","5",
"075X","075X - Memorandum Item","075","0","4",
"075XX","075XX - Memorandum Item","075X","1","5",
"07X","07X - Memorandum Item","07","0","3",
"07XX","07XX - Memorandum Item","07X","0","4",
"07XXX","07XXX - Memorandum Item","07XX","1","5",
"08","08 - Feeding stuff for animals (not including unmilled cereals)","0","0","2",
"081","081 - Feeding stuff for animals (not including unmilled cereals)","08","0","3",
"0811","0811 - Hay and fodder, green or dry","081","0","4",
"08111","08111 - Cereal straw and husks, unprepared, or chopped but not otherwise prepared","0811","1","5",
"08112","08112 - Mangolds, swedes, fodder roots; hay, lucerne, clover, sainfoin, forage kale, lupines, vetches and similar forage products","0811","1","5",
"08119","08119 - Products of vegetable origin of a kind used for animal food, n.e.s.","0811","1","5",
"0811X","0811X - Memorandum Item","0811","1","5",
"0812","0812 - Bran, sharps and other residues derived from the sifting, milling or working of cereals or of leguminous vegetables","081","0","4",
"08121","08121 - ....of maize or rice","0812","1","5",
"08122","08122 - ....or other cereals","0812","1","5",
"08123","08123 - ....of leguminous vegetables","0812","1","5",
"0812X","0812X - Memorandum Item","0812","1","5",
"0813","0813 - Oil-cake and other residues (except dregs) resulting from the extraction of vegetable oils","081","0","4",
"08131","08131 - ....of soya beans","0813","1","5",
"08132","08132 - ....of groundnuts","0813","1","5",
"08133","08133 - ....of cotton seeds","0813","1","5",
"08134","08134 - ....of linseed","0813","1","5",
"08135","08135 - ....of sunflower seeds","0813","1","5",
"08136","08136 - ....of rape or colza seed","0813","1","5",
"08137","08137 - ....of coconut  (copra)","0813","1","5",
"08138","08138 - ....of palm nuts, kernels","0813","1","5",
"08139","08139 - ....of other oilseeds and oleaginous fruits","0813","1","5",
"0813X","0813X - Memorandum Item","0813","1","5",
"0814","0814 - Flours and meals, of meat, offals, fish, crustaceans or molluscs, unfit for human consumption; greaves","081","0","4",
"08141","08141 - Flours and meals of meat or offals (including tankage), unfit for human consumption; greaves","0814","1","5",
"08142","08142 - Flours and meals, of fish, crustaceans or molluscs, unfit for human consumption","0814","1","5",
"0814X","0814X - Memorandum Item","0814","1","5",
"0819","0819 - Food waste and prepared animal feed, n.e.s.","081","0","4",
"08192","08192 - Cocoa shells, husks, skin and waste","0819","1","5",
"08193","08193 - Beet-pulp, bagasse and other waste of sugar manufacture; brewing and distilling dregs and waste; residues of starch manufacture and similar residues","0819","1","5",
"08194","08194 - Wine lees; argol","0819","1","5",
"08199","08199 - Sweetened forage; other preparation of a kind used in animal feeding, n.e.s.","0819","1","5",
"0819X","0819X - Memorandum Item","0819","1","5",
"081X","081X - Memorandum Item","081","0","4",
"081XX","081XX - Memorandum Item","081X","1","5",
"08X","08X - Memorandum Item","08","0","3",
"08XX","08XX - Memorandum Item","08X","0","4",
"08XXX","08XXX - Memorandum Item","08XX","1","5",
"09","09 - Miscellaneous edible products and preparations","0","0","2",
"091","091 - Margarine and shortening","09","0","3",
"0913","0913 - Lard, other pig and poultry fat, rendered or solvent-extracted","091","1","4",
"0914","0914 - Margarine, imitation lard and other prepared edible fats, n.e.s.","091","0","4",
"09141","09141 - Margarine","0914","1","5",
"09149","09149 - Imitation lard and other prepared edible fats, n.e.s.","0914","1","5",
"0914X","0914X - Memorandum Item","0914","1","5",
"091X","091X - Memorandum Item","091","0","4",
"091XX","091XX - Memorandum Item","091X","1","5",
"098","098 - Edible products and preparations, n.e.s.","09","0","3",
"0980","0980 - Edible products and preparations, n.e.s.","098","0","4",
"09801","09801 - Homogenized composite food preparations","0980","1","5",
"09802","09802 - Extracts, essences or concentrates of tea or maté and preparations with a basis of those extracts, essences or concentrates","0980","1","5",
"09803","09803 - Mustard flour and prepared mustard","0980","1","5",
"09804","09804 - Sauces; mixed condiments and mixed seasonings","0980","1","5",
"09805","09805 - Soups and broths, in liquid, solid or powder form","0980","1","5",
"09806","09806 - Natural yeasts (active and inactive); prepared baking powders","0980","1","5",
"09807","09807 - Vinegar and substitutes for vinegar","0980","1","5",
"09808","09808 - Edible products of animal origin, n.e.s.","0980","1","5",
"09809","09809 - Food preparations, n.e.s.","0980","1","5",
"0980X","0980X - Memorandum Item","0980","1","5",
"098X","098X - Memorandum Item","098","0","4",
"098XX","098XX - Memorandum Item","098X","1","5",
"09X","09X - Memorandum Item","09","0","3",
"09XX","09XX - Memorandum Item","09X","0","4",
"09XXX","09XXX - Memorandum Item","09XX","1","5",
"0X","0X - Memorandum Item","0","0","2",
"0XX","0XX - Memorandum Item","0X","0","3",
"0XXX","0XXX - Memorandum Item","0XX","0","4",
"0XXXX","0XXXX - Memorandum Item","0XXX","1","5",
"1","1 - Beverages and tobacco","TOTAL","0","1",
"11","11 - Beverages","1","0","2",
"111","111 - Non-alcoholic beverages, n.e.s.","11","0","3",
"1110","1110 - Non-alcoholic beverages, n.e.s.","111","0","4",
"11101","11101 - Waters (including spa waters and aerated waters); ice and snow","1110","1","5",
"11102","11102 - Lemonade, flavoured spa waters and flavoured aerated waters, and other non-alcoholic beverages, n.e.s.","1110","1","5",
"1110X","1110X - Memorandum Item","1110","1","5",
"111X","111X - Memorandum Item","111","0","4",
"111XX","111XX - Memorandum Item","111X","1","5",
"112","112 - Alcoholic beverages","11","0","3",
"1121","1121 - Wine of fresh grapes (including must)","112","0","4",
"11211","11211 - Grape must, with fermentation or with fermentation arrested otherwise than by the addition of alcohol","1121","1","5",
"11212","11212 - Wine of fresh grapes; grape must with fermentation arrested, by the addition of alcohol","1121","1","5",
