cmdCode,descriptionOriginal,id,text,parent,isLeaf,aggrlevel
"4249","Fixed vegetable oils, n.e.s.","4249","4249 - Fixed vegetable oils, n.e.s.","424","1","4",
"424X","Memorandum Item","424X","424X - Memorandum Item","424","0","4",
"424XX","Memorandum Item","424XX","424XX - Memorandum Item","424X","1","5",
"42X","Memorandum Item","42X","42X - Memorandum Item","42","0","3",
"42XX","Memorandum Item","42XX","42XX - Memorandum Item","42X","0","4",
"42XXX","Memorandum Item","42XXX","42XXX - Memorandum Item","42XX","1","5",
"43","Animal and vegetable oils and fats, processed","43","43 - Animal and vegetable oils and fats, processed","4","0","2",
"431","Anim./veg. Oils & fats,processed,and waxes","431","431 - Anim./veg. Oils & fats,processed,and waxes","43","0","3",
"4311","Anim./veget.oils,boiled,oxidized,dehydrated","4311","4311 - Anim./veget.oils,boiled,oxidized,dehydrated","431","1","4",
"4312","Hydrogenated oils and fats","4312","4312 - Hydrogenated oils and fats","431","1","4",
"43121","Animal fats and oils and their fractions","43121","43121 - Animal fats and oils and their fractions","4312","1","5",
"43122","Vegetable fats and oils and their fractions","43122","43122 - Vegetable fats and oils and their fractions","4312","1","5",
"4312X","Memorandum Item","4312X","4312X - Memorandum Item","4312","1","5",
"4313","Acid oils,fatty acids and solid residues","4313","4313 - Acid oils,fatty acids and solid residues","431","0","4",
"43131","Fatty acids;acid oils from refining","43131","43131 - Fatty acids;acid oils from refining","4313","1","5",
"43132","Residues from the treatment of fatty substances","43132","43132 - Residues from the treatment of fatty substances","4313","1","5",
"43133","Residues resulting from the treatment of fatty substances or animal or vegetable waxes; degras","43133","43133 - Residues resulting from the treatment of fatty substances or animal or vegetable waxes; degras","4313","1","5",
"4313X","Memorandum Item","4313X","4313X - Memorandum Item","4313","1","5",
"4314","Waxes of animal or vegetable origin","4314","4314 - Waxes of animal or vegetable origin","431","0","4",
"43141","Spermaceti","43141","43141 - Spermaceti","4314","1","5",
"43142","Beewax and other insect waxes","43142","43142 - Beewax and other insect waxes","4314","1","5",
"43143","Vegetable waxes","43143","43143 - Vegetable waxes","4314","1","5",
"43144","Spermaceti, crude, pressed, or refined, whether or not coloured; beeswax and other insect waxes, whether or not coloured","43144","43144 - Spermaceti, crude, pressed, or refined, whether or not coloured; beeswax and other insect waxes, whether or not coloured","4314","1","5",
"4314X","Memorandum Item","4314X","4314X - Memorandum Item","4314","1","5",
"431X","Memorandum Item","431X","431X - Memorandum Item","431","0","4",
"431XX","Memorandum Item","431XX","431XX - Memorandum Item","431X","1","5",
"43X","Memorandum Item","43X","43X - Memorandum Item","43","0","3",
"43XX","Memorandum Item","43XX","43XX - Memorandum Item","43X","0","4",
"43XXX","Memorandum Item","43XXX","43XXX - Memorandum Item","43XX","1","5",
"4X","Memorandum Item","4X","4X - Memorandum Item","4","0","2",
"4XX","Memorandum Item","4XX","4XX - Memorandum Item","4X","0","3",
"4XXX","Memorandum Item","4XXX","4XXX - Memorandum Item","4XX","0","4",
"4XXXX","Memorandum Item","4XXXX","4XXXX - Memorandum Item","4XXX","1","5",
"5","Chemicals","5","5 - Chemicals","TOTAL","0","1",
"51","Chemical elements and compounds","51","51 - Chemical elements and compounds","5","0","2",
"511","Hydrocarbons, n.e.s., and their halogenated, sulphonated, nitrated or nitrosated derivatives","511","511 - Hydrocarbons, n.e.s., and their halogenated, sulphonated, nitrated or nitrosated derivatives","51","0","3",
"5111","Acyclic hydrocarbons","5111","5111 - Acyclic hydrocarbons","511","0","4",
"51111","Ethylene","51111","51111 - Ethylene","5111","1","5",
"51112","Propylene","51112","51112 - Propylene","5111","1","5",
"51113","Butylenes, butadienes and methylbutadienes","51113","51113 - Butylenes, butadienes and methylbutadienes","5111","1","5",
"51114","Saturated acyclic hydrocarbons","51114","51114 - Saturated acyclic hydrocarbons","5111","1","5",
"51119","Other acyclic hydrocarbons","51119","51119 - Other acyclic hydrocarbons","5111","1","5",
"5111X","Memorandum Item","5111X","5111X - Memorandum Item","5111","1","5",
"5112","Cyclic hydrocarbons","5112","5112 - Cyclic hydrocarbons","511","0","4",
"51121","Cyclohexane","51121","51121 - Cyclohexane","5112","1","5",
"51122","Benzene, chemically or commercially pure","51122","51122 - Benzene, chemically or commercially pure","5112","1","5",
"51123","Toluene, chemically or commercially pure","51123","51123 - Toluene, chemically or commercially pure","5112","1","5",
"51124","Xylenes, chemically or commercially pure","51124","51124 - Xylenes, chemically or commercially pure","5112","1","5",
"51125","Styrene","51125","51125 - Styrene","5112","1","5",
"51126","Ethylbenzene","51126","51126 - Ethylbenzene","5112","1","5",
"51127","Cumene","51127","51127 - Cumene","5112","1","5",
"51129","Other cyclic hydrocarbons","51129","51129 - Other cyclic hydrocarbons","5112","1","5",
"5112X","Memorandum Item","5112X","5112X - Memorandum Item","5112","1","5",
"5113","Halogenated derivatives of hydrocarbons","5113","5113 - Halogenated derivatives of hydrocarbons","511","0","4",
"51131","Vinyl chloride (chloroethylene)","51131","51131 - Vinyl chloride (chloroethylene)","5113","1","5",
"51132","Trichloroethylene","51132","51132 - Trichloroethylene","5113","1","5",
"51133","Tetrachloroethylene (perchloroethylene)","51133","51133 - Tetrachloroethylene (perchloroethylene)","5113","1","5",
"51134","Other unsaturated chlorinated derivatives of acyclic hydrocarbons","51134","51134 - Other unsaturated chlorinated derivatives of acyclic hydrocarbons","5113","1","5",
"51135","1,2-Dichloroethane (ethylene dichloride)","51135","51135 - 1,2-Dichloroethane (ethylene dichloride)","5113","1","5",
"51136","Other saturated chlorinated derivatives of acyclic hydrocarbons","51136","51136 - Other saturated chlorinated derivatives of acyclic hydrocarbons","5113","1","5",
"51137","Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons","51137","51137 - Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons","5113","1","5",
"51138","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens","51138","51138 - Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens","5113","1","5",
"51139","Other halogenated derivatives of hydrocarbons","51139","51139 - Other halogenated derivatives of hydrocarbons","5113","1","5",
"5113X","Memorandum Item","5113X","5113X - Memorandum Item","5113","1","5",
"5114","Sulphonated, nitrated or nitrosated derivatives of hydrocarbons","5114","5114 - Sulphonated, nitrated or nitrosated derivatives of hydrocarbons","511","1","4",
"511X","Memorandum Item","511X","511X - Memorandum Item","511","0","4",
"511XX","Memorandum Item","511XX","511XX - Memorandum Item","511X","1","5",
"512","Organic chemicals","512","512 - Organic chemicals","51","0","3",
"5121","Hydrocarbons and their derivatives","5121","5121 - Hydrocarbons and their derivatives","512","0","4",
"51211","Styrene","51211","51211 - Styrene","5121","1","5",
"51212","Other hydrocarbons","51212","51212 - Other hydrocarbons","5121","1","5",
"51213","Halogenated derivatives of hydrocarbons","51213","51213 - Halogenated derivatives of hydrocarbons","5121","1","5",
"51214","Other derivatives of hydrocarbons","51214","51214 - Other derivatives of hydrocarbons","5121","1","5",
"51215","Ethylene glycol (ethanediol)","51215","51215 - Ethylene glycol (ethanediol)","5121","1","5",
"51216","Ethyl alcohol (ethanol) or natural spirits, undenatured, of a strenghtof 80° or higher; denatured spirits (including ethyl alcohol and neutral spirits) of any strength","51216","51216 - Ethyl alcohol (ethanol) or natural spirits, undenatured, of a strenghtof 80° or higher; denatured spirits (including ethyl alcohol and neutral spirits) of any strength","5121","1","5",
"51217","Fatty alcohols","51217","51217 - Fatty alcohols","5121","1","5",
"51218","Glycerol (glycerin) and glycerol lyes","51218","51218 - Glycerol (glycerin) and glycerol lyes","5121","1","5",
"51219","Other' acycllc alcohols and the halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols","51219","51219 - Other' acycllc alcohols and the halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols","5121","1","5",
"5121X","Memorandum Item","5121X","5121X - Memorandum Item","5121","1","5",
"5122","Alcohols,phenols,phenol alcohols,glycerine","5122","5122 - Alcohols,phenols,phenol alcohols,glycerine","512","0","4",
"51221","Methyl alcohol /methanol/","51221","51221 - Methyl alcohol /methanol/","5122","1","5",
"51222","Other acyclic alcohols and derivatives","51222","51222 - Other acyclic alcohols and derivatives","5122","1","5",
"51223","Cyclic alcohols and derivatives","51223","51223 - Cyclic alcohols and derivatives","5122","1","5",
"51224","Ethyl alcohol,undenatured and den.spirits","51224","51224 - Ethyl alcohol,undenatured and den.spirits","5122","1","5",
"51225","Fatty alcohols","51225","51225 - Fatty alcohols","5122","1","5",
"51226","Glycerol and glycerol lyes","51226","51226 - Glycerol and glycerol lyes","5122","1","5",
"51227","Phenols and phenol alcohols","51227","51227 - Phenols and phenol alcohols","5122","1","5",
"51228","Derivatives of phenols or phenol alcohols","51228","51228 - Derivatives of phenols or phenol alcohols","5122","1","5",
"51229","Other acyclic alcohols","51229","51229 - Other acyclic alcohols","5122","1","5",
"5122X","Memorandum Item","5122X","5122X - Memorandum Item","5122","1","5",
"5123","Ethers,epoxides,acetals","5123","5123 - Ethers,epoxides,acetals","512","0","4",
"51231","Ethers,ether/alcohols/phenols/peroxides & deriv","51231","51231 - Ethers,ether/alcohols/phenols/peroxides & deriv","5123","1","5",
"51232","Epoxides/alcohols/phenols/ethers and derivative","51232","51232 - Epoxides/alcohols/phenols/ethers and derivative","5123","1","5",
"51233","Acetals,hemiacetals and derivatives","51233","51233 - Acetals,hemiacetals and derivatives","5123","1","5",
"51234","Phenol (hydroxybenzene), chemlcally pure, and its salts","51234","51234 - Phenol (hydroxybenzene), chemlcally pure, and its salts","5123","1","5",
"51235","Cresols, n.e.s., and their salts","51235","51235 - Cresols, n.e.s., and their salts","5123","1","5",
"51236","Other phenols and phenol-alcohols","51236","51236 - Other phenols and phenol-alcohols","5123","1","5",
"51237","Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols","51237","51237 - Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols","5123","1","5",
"5123X","Memorandum Item","5123X","5123X - Memorandum Item","5123","1","5",
"5124","Aldehyde ,ketone ,quinone function compounds","5124","5124 - Aldehyde ,ketone ,quinone function compounds","512","0","4",
"51241","Oxygen function aldehydes","51241","51241 - Oxygen function aldehydes","5124","1","5",
"51242","Derivatives of oxygen function aldehydes","51242","51242 - Derivatives of oxygen function aldehydes","5124","1","5",
"51243","Ketones,quinones and derivatives","51243","51243 - Ketones,quinones and derivatives","5124","1","5",
"51244","Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols","51244","51244 - Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols","5124","1","5",
"5124X","Memorandum Item","5124X","5124X - Memorandum Item","5124","1","5",
"5125","Acids and their halogenated derivatives","5125","5125 - Acids and their halogenated derivatives","512","0","4",
"51251","Monoacids and derivatives","51251","51251 - Monoacids and derivatives","5125","1","5",
"51252","Polyacids and derivatives","51252","51252 - Polyacids and derivatives","5125","1","5",
"51253","Oxygen function acids and derivatives","51253","51253 - Oxygen function acids and derivatives","5125","1","5",
"5125X","Memorandum Item","5125X","5125X - Memorandum Item","5125","1","5",
"5126","Inorganic esters,their salts and derivatives","5126","5126 - Inorganic esters,their salts and derivatives","512","0","4",
"51261","Sulphuric esters,their salts and derivatives","51261","51261 - Sulphuric esters,their salts and derivatives","5126","1","5",
"51262","Nitrous & nitric esters and derivatives","51262","51262 - Nitrous & nitric esters and derivatives","5126","1","5",
"51263","Phosphoric esters,their salts and derivatives","51263","51263 - Phosphoric esters,their salts and derivatives","5126","1","5",
"51264","Carbonic esters,their salts and derivatives","51264","51264 - Carbonic esters,their salts and derivatives","5126","1","5",
"51269","Other inorg. Esters,their salts and derivat.","51269","51269 - Other inorg. Esters,their salts and derivat.","5126","1","5",
"5126X","Memorandum Item","5126X","5126X - Memorandum Item","5126","1","5",
"5127","Nitrogen function compounds","5127","5127 - Nitrogen function compounds","512","0","4",
"51271","Amine function compounds","51271","51271 - Amine function compounds","5127","1","5",
"51272","Oxygen function amino compounds","51272","51272 - Oxygen function amino compounds","5127","1","5",
"51273","Quaternary ammonium salts and hydroxides","51273","51273 - Quaternary ammonium salts and hydroxides","5127","1","5",
"51274","Amide function compounds","51274","51274 - Amide function compounds","5127","1","5",
"51275","Imide and imine function compounds","51275","51275 - Imide and imine function compounds","5127","1","5",
"51276","Nitrile function compounds","51276","51276 - Nitrile function compounds","5127","1","5",
"51277","Diazo ,azo and azoxy compounds","51277","51277 - Diazo ,azo and azoxy compounds","5127","1","5",
"51278","Organic derivatives of hydrazine/hydroxylamine","51278","51278 - Organic derivatives of hydrazine/hydroxylamine","5127","1","5",
"51279","Compounds with other nitrogen functions","51279","51279 - Compounds with other nitrogen functions","5127","1","5",
"5127X","Memorandum Item","5127X","5127X - Memorandum Item","5127","1","5",
"5128","Organo inorganic & heterocyclic compounds","5128","5128 - Organo inorganic & heterocyclic compounds","512","0","4",
"51281","Organo sulphur compounds","51281","51281 - Organo sulphur compounds","5128","1","5",
"51282","Organo arsenic compounds","51282","51282 - Organo arsenic compounds","5128","1","5",
"51283","Organo mercury compounds","51283","51283 - Organo mercury compounds","5128","1","5",
"51284","Other organo inorganic compounds","51284","51284 - Other organo inorganic compounds","5128","1","5",
"51285","Heterocyclic compounds (incl.nucleic acids)","51285","51285 - Heterocyclic compounds (incl.nucleic acids)","5128","1","5",
"51286","Sulphonamides","51286","51286 - Sulphonamides","5128","1","5",
"51287","Sultones and sultams","51287","51287 - Sultones and sultams","5128","1","5",
"5128X","Memorandum Item","5128X","5128X - Memorandum Item","5128","1","5",
"5129","Other organic chemicals","5129","5129 - Other organic chemicals","512","0","4",
"51291","Enzymes","51291","51291 - Enzymes","5129","1","5",
"51292","Sugars,chem.pure excl.sucrose glucose lactose","51292","51292 - Sugars,chem.pure excl.sucrose glucose lactose","5129","1","5",
"51299","Other organic compounds","51299","51299 - Other organic compounds","5129","1","5",
"5129X","Memorandum Item","5129X","5129X - Memorandum Item","5129","1","5",
"512X","Memorandum Item","512X","512X - Memorandum Item","512","0","4",
"512XX","Memorandum Item","512XX","512XX - Memorandum Item","512X","1","5",
"513","Inorg.chemicals elems.,oxides,halogen salts","513","513 - Inorg.chemicals elems.,oxides,halogen salts","51","0","3",
"5131","Oxygen,nitrogen,hydrogen,rare gases","5131","5131 - Oxygen,nitrogen,hydrogen,rare gases","513","0","4",
"51311","Oxygen","51311","51311 - Oxygen","5131","1","5",
"51312","Nitrogen","51312","51312 - Nitrogen","5131","1","5",
"51313","Hydrogen and rare gases","51313","51313 - Hydrogen and rare gases","5131","1","5",
"5131X","Memorandum Item","5131X","5131X - Memorandum Item","5131","1","5",
"5132","Chemical elements nes","5132","5132 - Chemical elements nes","513","0","4",
"51321","Chlorine","51321","51321 - Chlorine","5132","1","5",
"51322","Other halogens","51322","51322 - Other halogens","5132","1","5",
"51323","Sulphur,sublimed or precipitated;colloidal sul.","51323","51323 - Sulphur,sublimed or precipitated;colloidal sul.","5132","1","5",
"51324","Metalloids,n.e.s.","51324","51324 - Metalloids,n.e.s.","5132","1","5",
"51325","Mercury","51325","51325 - Mercury","5132","1","5",
"51326","Alkali,alkaline earth & rare earth metals","51326","51326 - Alkali,alkaline earth & rare earth metals","5132","1","5",
"51327","Carbon black, etc.","51327","51327 - Carbon black, etc.","5132","1","5",
"51328","Gas carbon","51328","51328 - Gas carbon","5132","1","5",
"5132X","Memorandum Item","5132X","5132X - Memorandum Item","5132","1","5",
"5133","Inorganic acids & oxygen comp.of metalloids","5133","5133 - Inorganic acids & oxygen comp.of metalloids","513","0","4",
"51331","Hydrochloric and chlorosulphonic acids","51331","51331 - Hydrochloric and chlorosulphonic acids","5133","1","5",
"51332","Sulphur dioxide","51332","51332 - Sulphur dioxide","5133","1","5",
"51333","Sulphuric acid, oleum","51333","51333 - Sulphuric acid, oleum","5133","1","5",
"51334","Nitric acid;sulphonitric acids","51334","51334 - Nitric acid;sulphonitric acids","5133","1","5",
"51335","Phosphorous pentoxide and phosphoric acids","51335","51335 - Phosphorous pentoxide and phosphoric acids","5133","1","5",
"51336","Arsenic trioxide,ars.pentoxide & acids of ars.","51336","51336 - Arsenic trioxide,ars.pentoxide & acids of ars.","5133","1","5",
"51337","Boric oxide and boric acid","51337","51337 - Boric oxide and boric acid","5133","1","5",
"51339","Other inorganic acids & oxygen compounds","51339","51339 - Other inorganic acids & oxygen compounds","5133","1","5",
"5133X","Memorandum Item","5133X","5133X - Memorandum Item","5133","1","5",
"5134","Halogen & sulphur comp.of non met.or metalloids","5134","5134 - Halogen & sulphur comp.of non met.or metalloids","513","0","4",
"51341","Halides,oxyhalides & other halogen compounds","51341","51341 - Halides,oxyhalides & other halogen compounds","5134","1","5",
"51342","Sulphides of non metals or of metalloids","51342","51342 - Sulphides of non metals or of metalloids","5134","1","5",
"5134X","Memorandum Item","5134X","5134X - Memorandum Item","5134","1","5",
"5135","Metallic oxides used in paints","5135","5135 - Metallic oxides used in paints","513","0","4",
"51351","Zinc oxide and peroxide","51351","51351 - Zinc oxide and peroxide","5135","1","5",
"51352","Manganese oxides","51352","51352 - Manganese oxides","5135","1","5",
"51353","Iron oxides and hydroxides","51353","51353 - Iron oxides and hydroxides","5135","1","5",
"51354","Cobalt oxides and hydroxides","51354","51354 - Cobalt oxides and hydroxides","5135","1","5",
"51355","Titanium oxides","51355","51355 - Titanium oxides","5135","1","5",
"51356","Lead oxides","51356","51356 - Lead oxides","5135","1","5",
"5135X","Memorandum Item","5135X","5135X - Memorandum Item","5135","1","5",
"5136","Other inorganic bases and metallic oxides","5136","5136 - Other inorganic bases and metallic oxides","513","0","4",
"51361","Ammonia,anhydrous or in aqueous solution","51361","51361 - Ammonia,anhydrous or in aqueous solution","5136","1","5",
"51362","Caustic soda (sodium hydroxide)","51362","51362 - Caustic soda (sodium hydroxide)","5136","1","5",
"51363","Caustic potash;peroxides of potassium / sodium","51363","51363 - Caustic potash;peroxides of potassium / sodium","5136","1","5",
"51364","Oxides,hydroxides & perox.of strontium,barium","51364","51364 - Oxides,hydroxides & perox.of strontium,barium","5136","1","5",
"51365","Aluminium oxide and hydroxide","51365","51365 - Aluminium oxide and hydroxide","5136","1","5",
"51366","Artificial corundum","51366","51366 - Artificial corundum","5136","1","5",
"51367","Chromium oxides and hydroxides","51367","51367 - Chromium oxides and hydroxides","5136","1","5",
"51368","Tin oxides","51368","51368 - Tin oxides","5136","1","5",
"51369","Other inorganic bases & metallic oxides/hydrox.","51369","51369 - Other inorganic bases & metallic oxides/hydrox.","5136","1","5",
"5136X","Memorandum Item","5136X","5136X - Memorandum Item","5136","1","5",
"5137","Monocarboxylic acids and their anhydrides, halides, peroxides and peracids, and their halogenated, sulphonated, nitrated or nltrosated derivatives","5137","5137 - Monocarboxylic acids and their anhydrides, halides, peroxides and peracids, and their halogenated, sulphonated, nitrated or nltrosated derivatives","513","0","4",
"51371","Acetic acid and its salts","51371","51371 - Acetic acid and its salts","5137","1","5",
"51372","Esters of acetic acid","51372","51372 - Esters of acetic acid","5137","1","5",
"51373","Methacrylic acid and its salts and esters","51373","51373 - Methacrylic acid and its salts and esters","5137","1","5",
"51374","Formic acid, its salts and esters","51374","51374 - Formic acid, its salts and esters","5137","1","5",
"51375","Butyric acids, valeric acids, their salts and esters","51375","51375 - Butyric acids, valeric acids, their salts and esters","5137","1","5",
"51376","Palmitic acid, stearic acid, their salts and esters","51376","51376 - Palmitic acid, stearic acid, their salts and esters","5137","1","5",
"51377","Saturated acyclic monocarboxylic acids, n.e.s.; anhydrides, halides, peroxides and peroxyacids of saturated acyclic mono-carboxylic acids and their halogenated, sulphonated, nitrated or nitrosated derivatives","51377","51377 - Saturated acyclic monocarboxylic acids, n.e.s.; anhydrides, halides, peroxides and peroxyacids of saturated acyclic mono-carboxylic acids and their halogenated, sulphonated, nitrated or nitrosated derivatives","5137","1","5",
"51378","Oleic, linoleic or linolenic acids, their salts and esters","51378","51378 - Oleic, linoleic or linolenic acids, their salts and esters","5137","1","5",
"51379","Other monocarboxylic acids, and anhydrides, halides, peroxides and peracids of monocarboxylic acids, andthe haIogenated, sulphonated, nitrated or nitrosated derivatives of the products falling within heading 513.7","51379","51379 - Other monocarboxylic acids, and anhydrides, halides, peroxides and peracids of monocarboxylic acids, andthe haIogenated, sulphonated, nitrated or nitrosated derivatives of the products falling within heading 513.7","5137","1","5",
"5137X","Memorandum Item","5137X","5137X - Memorandum Item","5137","1","5",
"5138","Polycarboxylic acids and their anhydrides, halides, peroxides and peracids, and their halogenated, sulphonated, nitrated or nitrosated derivatives","5138","5138 - Polycarboxylic acids and their anhydrides, halides, peroxides and peracids, and their halogenated, sulphonated, nitrated or nitrosated derivatives","513","0","4",
"51381","Maleic anhydride","51381","51381 - Maleic anhydride","5138","1","5",
"51382","Phthalic anhydride","51382","51382 - Phthalic anhydride","5138","1","5",
"51383","Dioctyl orthophthalates","51383","51383 - Dioctyl orthophthalates","5138","1","5",
"51384","Esters of terephthalic acid","51384","51384 - Esters of terephthalic acid","5138","1","5",
"51385","Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives","51385","51385 - Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives","5138","1","5",
"51389","Polycarboxylic acids and anhydrides, halides, peroxides and peracids of polycarboxylic acids, n.e.s., and the halogenated, sulphonated, nitrated or nitrosated derivatives of the products falling within heading 513.8","51389","51389 - Polycarboxylic acids and anhydrides, halides, peroxides and peracids of polycarboxylic acids, n.e.s., and the halogenated, sulphonated, nitrated or nitrosated derivatives of the products falling within heading 513.8","5138","1","5",
"5138X","Memorandum Item","5138X","5138X - Memorandum Item","5138","1","5",
"5139","Carboxylic acids with alcohol, phenol, aldehyde or ketone function and other single or complex oxygen-function carboxylic acids and their anhydrides, halides, peroxides and peracids, and their halogenated, sulphonated, nitrated or nitrosated derivatives","5139","5139 - Carboxylic acids with alcohol, phenol, aldehyde or ketone function and other single or complex oxygen-function carboxylic acids and their anhydrides, halides, peroxides and peracids, and their halogenated, sulphonated, nitrated or nitrosated derivatives","513","1","4",
"51391","Lactic acid, tartaric acid, citric acid and their salts and esters","51391","51391 - Lactic acid, tartaric acid, citric acid and their salts and esters","5139","1","5",
"51392","Other carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives","51392","51392 - Other carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives","5139","1","5",
"51393","Salicylic acid and its salts and esters","51393","51393 - Salicylic acid and its salts and esters","5139","1","5",
"51394","Other carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives","51394","51394 - Other carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives","5139","1","5",
"51395","Carboxylic acids with aldehyde or ketone function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives","51395","51395 - Carboxylic acids with aldehyde or ketone function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives","5139","1","5",
"51396","Carboxylic acids with additional oxygen functions, n.e.s., their anhydrides, halides, peroxides, peroxyacids and their derivatives","51396","51396 - Carboxylic acids with additional oxygen functions, n.e.s., their anhydrides, halides, peroxides, peroxyacids and their derivatives","5139","1","5",
"5139X","Memorandum Item","5139X","5139X - Memorandum Item","5139","1","5",
"513X","Memorandum Item","513X","513X - Memorandum Item","513","0","4",
"513XX","Memorandum Item","513XX","513XX - Memorandum Item","513X","1","5",
"514","Other inorganic chemicals","514","514 - Other inorganic chemicals","51","0","3",
"5141","Metallic salts & peroxysalts of inorganic acids","5141","5141 - Metallic salts & peroxysalts of inorganic acids","514","0","4",
"51411","Fluorides,fluorosilicates,fluorborates,etc","51411","51411 - Fluorides,fluorosilicates,fluorborates,etc","5141","1","5",
"51412","Chlorides and oxychlorides","51412","51412 - Chlorides and oxychlorides","5141","1","5",
"51413","Chlorites and hypochlorites","51413","51413 - Chlorites and hypochlorites","5141","1","5",
"51414","Chlorates and perchlorates","51414","51414 - Chlorates and perchlorates","5141","1","5",
"51415","Bromides,oxybr.,bromates & perbro,hypobromites","51415","51415 - Bromides,oxybr.,bromates & perbro,hypobromites","5141","1","5",
"51416","Iodides,oxyiodides,iodates and periodates","51416","51416 - Iodides,oxyiodides,iodates and periodates","5141","1","5",
"5141X","Memorandum Item","5141X","5141X - Memorandum Item","5141","1","5",
"5142","Oth.metal.salts & peroxysalts of inorg.acids 1","5142","5142 - Oth.metal.salts & peroxysalts of inorg.acids 1","514","0","4",
"51421","Sulphides (incl.polysulphides)","51421","51421 - Sulphides (incl.polysulphides)","5142","1","5",
"51422","Diothionites ; sulphoxylates","51422","51422 - Diothionites ; sulphoxylates","5142","1","5",
"51423","Sulphites and thiosulphates","51423","51423 - Sulphites and thiosulphates","5142","1","5",
"51424","Sulphates (incl.alums)and persulphates","51424","51424 - Sulphates (incl.alums)and persulphates","5142","1","5",
"51425","Nitrites and nitrates","51425","51425 - Nitrites and nitrates","5142","1","5",
"51426","Phosphites,hypophosphites and phosphates","51426","51426 - Phosphites,hypophosphites and phosphates","5142","1","5",
"51427","Arsenites and arsenates","51427","51427 - Arsenites and arsenates","5142","1","5",
"51428","Neutral sodium carbonate (soda ash)","51428","51428 - Neutral sodium carbonate (soda ash)","5142","1","5",
"51429","Other carbonates and percarbonates","51429","51429 - Other carbonates and percarbonates","5142","1","5",
"5142X","Memorandum Item","5142X","5142X - Memorandum Item","5142","1","5",
"5143","Oth.metal.salts & peroxysalts of inorg.acids 2","5143","5143 - Oth.metal.salts & peroxysalts of inorg.acids 2","514","0","4",
"51431","Cyanides and complex cyanides","51431","51431 - Cyanides and complex cyanides","5143","1","5",
"51432","Fulminates and cyanates","51432","51432 - Fulminates and cyanates","5143","1","5",
"51433","Silicates","51433","51433 - Silicates","5143","1","5",
"51434","Borates and perborates","51434","51434 - Borates and perborates","5143","1","5",
"51435","Salts of metallic acids","51435","51435 - Salts of metallic acids","5143","1","5",
"51436","Other salts & peroxysalts of inorganic acids","51436","51436 - Other salts & peroxysalts of inorganic acids","5143","1","5",
"51437","Colloidal precious metals & compounds org/inorg","51437","51437 - Colloidal precious metals & compounds org/inorg","5143","1","5",
"5143X","Memorandum Item","5143X","5143X - Memorandum Item","5143","1","5",
"5145","Amine-function compounds","5145","5145 - Amine-function compounds","514","1","4",
"51451","Acyclic monoamines and their derivatives; salts thereof","51451","51451 - Acyclic monoamines and their derivatives; salts thereof","5145","1","5",
"51452","Acyclic polyamines and their derivatives; salts thereof","51452","51452 - Acyclic polyamines and their derivatives; salts thereof","5145","1","5",
"51453","Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof","51453","51453 - Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof","5145","1","5",
"51454","Aromatic monoamines and their derivatives; salts thereof","51454","51454 - Aromatic monoamines and their derivatives; salts thereof","5145","1","5",
"51455","Aromatic polyamines and their derivatives; salts thereof","51455","51455 - Aromatic polyamines and their derivatives; salts thereof","5145","1","5",
"5145X","Memorandum Item","5145X","5145X - Memorandum Item","5145","1","5",
"5146","Single or complex oxygen-function amino-compounds","5146","5146 - Single or complex oxygen-function amino-compounds","514","1","4",
"51461","Amino-alcohols, their ethers and esters (other than those containing more than one kind of oxygen function); salts thereof","51461","51461 - Amino-alcohols, their ethers and esters (other than those containing more than one kind of oxygen function); salts thereof","5146","1","5",
"51462","Amino-naphthols and other amino-phenols, their ethers and esters (other than those containing more than one kind of oxygen function); salts thereof","51462","51462 - Amino-naphthols and other amino-phenols, their ethers and esters (other than those containing more than one kind of oxygen function); salts thereof","5146","1","5",
